field_id,category,label,value,format,mandatory
denumire_societate,Cégadatok,Denumire societate,TransOffice Trade SRL,szöveg,YES
cui_cif,Cégadatok,CUI / CIF,15847291,szám,YES
nr_inreg_onrc,Cégadatok,Nr. înregistrare ONRC,J19/421/2003,szöveg,YES
adresa_sediu,Cégadatok,Adresă sediu social,"str. Calea Băieșenilor nr. 22, Odorheiu Secuiesc, jud. Harghita",szöveg,YES
adresa_punct_lucru,Cégadatok,Adresă punct de lucru,"str. Calea Băieșenilor nr. 22, Odorheiu Secuiesc",szöveg,YES
judet,Cégadatok,Județ,Harghita,dropdown,YES
caen_principal,Cégadatok,Cod CAEN principal,4649,szám,YES
forma_juridica,Cégadatok,Forma juridică,SRL,dropdown,YES
telefon,Cégadatok,Telefon contact,0744-XXX-XXX,szám,YES
email,Cégadatok,Email contact,contact@transoffice.ro,szöveg,YES
repr_nume,Reprezentant,Nume reprezentant,Kovács,szöveg,YES
repr_prenume,Reprezentant,Prenume reprezentant,Márton,szöveg,YES
repr_cnp,Reprezentant,CNP,1920XXXXXXXXX,szám,YES
repr_functie,Reprezentant,Funcție,Administrator,szöveg,YES
repr_telefon,Reprezentant,Telefon personal,0744-XXX-XXX,szám,YES
ca_2023,Pénzügy,Cifra de afaceri 2023,1842300,szám,YES
ca_2024,Pénzügy,Cifra de afaceri 2024,1985700,szám,YES
ebitda_2023,Pénzügy,EBITDA 2023,128500,szám,YES
ebitda_2024,Pénzügy,EBITDA 2024,91200,szám,YES
salariati_2023,Pénzügy,Număr mediu salariați 2023,12,szám,YES
salariati_2024,Pénzügy,Număr mediu salariați 2024,12,szám,YES
capit_propr_2024,Pénzügy,Capitaluri proprii 31.12.2024,485000,szám,YES
datorii_2024,Pénzügy,Datorii totale 31.12.2024,392000,szám,YES
proj_titlu,Projekt,Titlu proiect,Tranziția flotei B2B la mobilitate verde — TransOffice Harghita,szöveg,YES
proj_descriere,Projekt,Descriere proiect (rezumat),"Achiziția a 2 autoutilitare electrice N1 (categorie ≤ 3,5 t) și instalarea 1 punct de reîncărcare AC dublu-port 22 kW la sediul operațional din Calea Băieșenilor 22, Odorheiu Secuiesc. Proiectul înlocuiește integral componenta de transport rutier al companiei TransOffice Trade SRL pentru livrările zilnice în județele Harghita și Covasna, generând economii de combustibil estimate la 6500 litri/an și reducere CO2 estimată la 5,2 tone/an. Vehiculele vor fi utilizate exclusiv pentru deservirea clienților B2B locali (cca 40 clienți recurenți), cu o distanță anuală estimată de 80.000 km. Punctul de reîncărcare instalat la sediu va susține alimentarea zilnică a flotei, având totodată acord proprietar și autorizație ANRE.",szöveg,YES
